RIGHT_FOOT_DISPLACEMENT,LEFT_FOOT_DISPLACEMENT,R_HIP_PITCH_PRESENT_VELOCITY,R_HIP_PITCH_LOAD,L_HIP_PITCH_PRESENT_VELOCITY,L_HIP_PITCH_LOAD,R_KNEE_PRESENT_VELOCITY,R_KNEE_LOAD,L_KNEE_PRESENT_VELOCITY,L_KNEE_LOAD,R_ANKLE_PITCH_PRESENT_VELOCITY,R_ANKLE_PITCH_LOAD,L_ANKLE_PITCH_PRESENT_VELOCITY,L_ANKLE_PITCH_LOAD
-0.178647268,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178594171,-0.178631456,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178583059,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178545304,-0.178532805,0,0.018572826,0,0.037145652,0,-0.13000977,0,-0.148582608,0,-0.037145652,0,-0.037145652
-0.178647268,-0.178506915,0,0,0,0.055718474,0,-0.148582608,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178622448,-0.178583059,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178607026,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178594171,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178506915,0,0,0,0.055718474,0,-0.13000977,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178621754,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178646417,-0.178608835,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178594171,-0.178631456,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.17866931,-0.178555348,0,0,0,0.055718474,0,-0.148582608,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178621754,-0.178532805,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178631456,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178645342,-0.178560473,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178523104,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178560473,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178621754,-0.178608835,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178593633,-0.178560473,0,0.018572826,0,0.037145652,0,-0.13000977,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178670083,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178608835,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178608835,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178608835,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178608835,0,0.018572826,0,0.037145652,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178560473,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178646417,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178670083,-0.178560473,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178584326,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178560473,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178594171,-0.178583059,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178522525,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178670083,-0.178459974,0,0,0,0.037145652,0,-0.148582608,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178594171,-0.178631456,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178545806,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178608835,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178608835,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178608835,0,0.018572826,0,0.037145652,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178523104,-0.178583059,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178555348,0,0,0,0.055718474,0,-0.13000977,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178608835,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178584326,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178608835,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178621754,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178555348,0,0,0,0.055718474,0,-0.148582608,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178560473,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178583059,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178555348,0,0,0,0.055718474,0,-0.13000977,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178621754,-0.178608835,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178608835,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178555348,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178621017,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178670083,-0.178583059,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178608835,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178608835,0,0,0,0.037145652,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178555348,0,0,0,0.055718474,0,-0.13000977,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178583059,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178608835,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178583059,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178584326,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178646417,-0.178608835,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178647268,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178631456,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178646417,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178647268,-0.178506915,0,0,0,0.055718474,0,-0.148582608,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178523104,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178535962,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178621754,-0.178560473,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178545806,-0.178558626,0,0.018572826,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178598975,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178523104,-0.178583059,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178506915,0,0,0,0.055718474,0,-0.148582608,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.17866931,-0.178583059,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178570818,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178598975,-0.178555348,0,0,0,0.055718474,0,-0.148582608,0,-0.148582608,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178583059,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178584326,0,0,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178609439,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178558626,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178594171,-0.178608835,0,0,0,0.037145652,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178583059,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178670083,-0.178608835,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178631456,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178647268,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178631456,0,0,0,0.055718474,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178571433,-0.178532805,0,0,0,0.037145652,0,-0.148582608,0,-0.148582608,0,-0.018572826,0,-0.018572826
-0.178670083,-0.178631456,0,0.018572826,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.17866931,-0.178608835,0,0.018572826,0,0.037145652,0,-0.148582608,0,-0.16715543,0,-0.037145652,0,-0.037145652
-0.178646417,-0.178583059,0,0,0,0.055718474,0,-0.148582608,0,-0.16715543,0,-0.018572826,0,-0.037145652
-0.178594171,-0.178608835,0,0,0,0.037145652,0,-0.13000977,0,-0.16715543,0,-0.018572826,0,-0.037145652
